"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YAL013W",162.144986866009,-0.22989835932203,0.117221343448449,-1.96123293385673,0.0498518566766176,0.115085308558519
"YAL014C",156.068853550854,0.241941559662472,0.115815876619297,2.08901893872262,0.0367060183886919,0.0896203356749327
"YAL015C",78.011913390898,-0.326540941656246,0.17303207046261,-1.88717005340814,0.0591374567882157,0.132906861647742
"YAL016C-A",19.3742046823197,0.956184700529977,0.312061882302326,3.06408681981744,0.00218335537423946,0.0082951758869843
"YAL016C-B",5.81085379853063,-0.904813046927724,0.625284806259239,-1.44704147273426,0.147885308418359,0.267352279045142
"YAL016W",227.770698942923,-0.0862817836237842,0.0935041467153239,-0.92275890059156,0.356132863331039,0.509417565769139
"YAL017W",177.297708909228,0.195383011933049,0.106925888386436,1.8272750863376,0.0676584191701067,0.148128345961991
"YAL018C",0.0754423710805142,0.671885331041733,3.5338115409304,0.190130493168528,0.849206875793086,NA
"YAL019W",65.3529833722011,0.523726040756257,0.177789797511621,2.94575981347874,0.00322162457550545,0.0116516650837216
"YAL019W-A",18.0869200963366,1.32040214559091,0.365391237246484,3.61366669748623,0.000301897104170031,0.00139110312869019
"YAL020C",108.077690758986,0.205107634038894,0.138199981831413,1.4841364761473,0.137772718052746,0.254617412671054
"YAL021C",150.557581828543,0.328931192104543,0.111913953605991,2.93914370376541,0.00329120437292319,0.0118829206428443
"YAL022C",148.729443727715,0.122251142856856,0.116716523875172,1.04741932674077,0.294906221807074,0.447312172328293
"YAL023C",500.7218607651,0.334774576067152,0.0630060150016211,5.31337485886924,1.076133462206e-07,8.14768353061838e-07
"YAL024C",29.0479720227062,-0.665331626498526,0.272442771512031,-2.4420968220445,0.0146022297922972,0.0419424337786928
"YAL025C",58.4028754048071,0.838845510037361,0.189716090878238,4.42158335729015,9.79802508329009e-06,5.95606870928461e-05
"YAL026C",131.568661498185,-0.0177500759612676,0.126867733002967,-0.139910090147607,0.888731028922597,0.934091033225047
"YAL026C-A",14.9237850143547,-1.12922453553245,0.404775292503969,-2.78975657962467,0.00527476829257024,0.0176346299025008
"YAL027W",34.2194472107205,-0.0807850193221321,0.238896943349809,-0.338158446857317,0.735243787787228,0.831969075781432
"YAL028W",70.9712282243943,-0.0501282039216397,0.16909748111753,-0.29644559806777,0.766889807109203,0.853720260705121
"YAL029C",147.092253968026,-0.0520951517829301,0.118587580905849,-0.439296858785663,0.660446449987866,0.779240166425153
"YAL030W",86.9679276829609,-0.0772506102701582,0.149512563592609,-0.516683069395092,0.605377416703142,0.736991339957108
"YAL031C",83.9049732743223,-0.703226678480744,0.164812739247251,-4.26682234451409,1.9827692815604e-05,0.00011458014074977
"YAL031W-A",9.2807546220363,-1.32493243453892,0.508968276964823,-2.60317291765219,0.00923653546751125,0.0286101799243538
"YAL032C",81.4320932155284,-0.187127853558414,0.165333471284841,-1.1318207505365,0.25770980194866,0.406395951089905
"YAL033W",32.817433274951,-0.228351888284118,0.250169583335649,-0.912788378344706,0.361353851727489,0.514662242253433
